"methods","samples.P","samples.delta","samples.N0","samples.sigma.d","samples.sigma.p","samples.tau"
"Euc. Summary",15.87164190186,0.26639499183598,12.2494801560236,0.630011118314898,0.109499801524004,8.54068749528208
"Euc. Summary",25.2114898535078,0.484591091040587,11.7191093108544,0.672972935559818,0.123211757309083,2.87287745230338
"Euc. Summary",16.3397911211609,0.454742662624365,13.3710738984659,0.696318393323807,0.112641473839221,5.84853287057091
"Euc. Summary",22.8695964558149,0.374308618217717,11.7881529519139,0.629546452124408,0.120024960819972,4.19313592134031
"Euc. Summary",17.6241648092659,0.249487692014091,12.4931361991972,0.601922047728817,0.11467909123808,7.5967713834678
"Euc. Summary",17.6241648092659,0.249487692014091,12.4931361991972,0.601922047728817,0.11467909123808,7.5967713834678
"Euc. Summary",22.6623401736691,0.344580553781997,11.7216485819651,0.628660011646382,0.118242035142256,5.90796940816369
"Euc. Summary",17.6241648092659,0.249487692014091,12.4931361991972,0.601922047728817,0.11467909123808,7.5967713834678
"Euc. Summary",23.7480775437291,0.570783589209066,11.5506027788132,0.727298356644432,0.121243238857534,4.29387277708207
"Euc. Summary",17.0543354665742,0.39378891906026,13.0924382490987,0.67392172422135,0.114977827885997,5.9963504122102
"Euc. Summary",21.1002378128343,0.21129991923511,11.9109343317158,0.563851701062128,0.116433509219033,6.40832697488372
"Euc. Summary",24.2076204493138,0.406840476713668,11.9968401024521,0.6498796846636,0.1209182321886,5.16631325712417
"Euc. Summary",19.1102771833066,0.413740888365895,13.1820235321114,0.68104786524191,0.118293984465083,1.82261709828688
"Euc. Summary",19.1102771833066,0.413740888365895,13.1820235321114,0.68104786524191,0.118293984465083,1.82261709828688
"Euc. Summary",27.7940566203348,0.290317542961545,11.5880322573719,0.599072496716882,0.127381939891743,2.57544512214169
"Euc. Summary",15.2847702555022,0.441249937560239,13.1484920022658,0.690379682306398,0.110973103985414,7.39436687600254
"Euc. Summary",20.7713530158716,0.420061208093718,12.3916114526926,0.658112931290828,0.115842167438775,4.46284817051377
"Euc. Summary",25.024672229366,0.439066520797695,11.8312750072097,0.659718989694409,0.122995248684964,4.19068851480234
"Euc. Summary",21.4416290559173,0.288225228122346,11.5805658853176,0.626544623009397,0.115683067073948,7.34657132652504
"Euc. Summary",14.685033570785,0.300887319947125,12.2856940449018,0.643773091967608,0.108405939309268,8.58648677692828
"Euc. Summary",16.9339117921834,0.224627442577125,12.9892855405874,0.615906428840531,0.112385941856778,7.29802135931623
"Euc. Summary",16.9339117921834,0.224627442577125,12.9892855405874,0.615906428840531,0.112385941856778,7.29802135931623
"Euc. Summary",21.0465435818454,0.356289807131982,12.2545958045106,0.645586735331306,0.119403569333849,4.918983364931
"Euc. Summary",23.7302025140591,0.386306463058334,11.3534107049451,0.652269461045445,0.119646794065636,5.67662683980416
"Euc. Summary",20.1169424210604,0.387722913490372,12.8269867856071,0.650673699780951,0.116114157598514,4.91643711686642
"Euc. Summary",23.1213113876406,0.632295758914735,12.5391481881914,0.700732336116183,0.121656926714211,3.53010618577766
"Euc. Summary",19.8647531757859,0.249075653400332,13.1668898115817,0.608313833732183,0.118260139262276,4.91022515530097
"Euc. Summary",18.2735783459246,0.502769160990922,12.972584655304,0.682100426918964,0.114451127457126,5.05646909155576
"Euc. Summary",17.0281796598662,0.426106249398258,13.1315039160891,0.670488896264627,0.114670608097117,7.35870080572246
"Euc. Summary",23.0498518076815,0.405709178178903,11.9293904063474,0.657510944346055,0.119243835998666,5.70454476918851
"Euc. Summary",16.4542017280483,0.401178387368709,13.1989503207171,0.678963054278283,0.114995872098713,5.0221650856703
"Euc. Summary",15.3130126176861,0.415890153453508,11.9087081943004,0.650494295867283,0.109545328327618,11.1118890742136
"Euc. Summary",15.3130126176861,0.415890153453508,11.9087081943004,0.650494295867283,0.109545328327618,11.1118890742136
"Euc. Summary",19.302395087888,0.215693679912249,12.3326484912322,0.571956007947396,0.113401123445288,8.00130591050051
"Euc. Summary",19.302395087888,0.215693679912249,12.3326484912322,0.571956007947396,0.113401123445288,8.00130591050051
"Euc. Summary",17.4901244778424,0.355921979159366,13.0209599985157,0.617033224561993,0.114155180622588,4.96088354976886
"Euc. Summary",14.3813446656993,0.489506997369862,13.7735765100107,0.703886375014785,0.111522326980034,5.80514591282925
"Euc. Summary",22.0554197432854,0.311268097716098,11.6412759027568,0.623893909113741,0.117460284255023,5.35209315066887
"Euc. Summary",22.4001226564516,0.304127930975468,12.0909924332236,0.667277067955846,0.121641820903845,7.21565201607756
"Euc. Summary",20.0402309209271,0.470880383836197,12.2046799903768,0.643359193866112,0.117077654165996,3.75522248494443
"Euc. Summary",17.7882070823451,0.432991942718173,12.9874540846037,0.674226326789937,0.115394329553119,4.34973239003279
