"","A","B","g","k"
"57",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"58",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"59",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"60",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"61",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"62",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"63",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"64",2.68194375136266,0.324720858242694,5.24118131693112,2.08598272971244
"65",2.68194375136266,0.324720858242694,5.24118131693112,2.08598272971244
"66",2.68194375136266,0.324720858242694,5.24118131693112,2.08598272971244
"67",2.68194375136266,0.324720858242694,5.24118131693112,2.08598272971244
"68",2.68194375136266,0.324720858242694,5.24118131693112,2.08598272971244
"69",2.87998136198774,0.673964902288776,5.24649155090445,1.9245126736962
"70",2.87998136198774,0.673964902288776,5.24649155090445,1.9245126736962
"71",2.87998136198774,0.673964902288776,5.24649155090445,1.9245126736962
"72",2.87998136198774,0.673964902288776,5.24649155090445,1.9245126736962
"73",2.87998136198774,0.673964902288776,5.24649155090445,1.9245126736962
"74",2.8588767321924,0.539529567962718,4.70781487968786,1.37905195478645
"75",2.8588767321924,0.539529567962718,4.70781487968786,1.37905195478645
"76",2.8588767321924,0.539529567962718,4.70781487968786,1.37905195478645
"77",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"78",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"79",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"80",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"81",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"82",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"83",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"84",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"85",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"86",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"87",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"88",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"89",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"90",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"91",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"92",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"93",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"94",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
"95",2.64501288439208,0.585202082605055,4.90541693319304,1.05440271066711
