"methods","samples.a","samples.b","samples.g","samples.k","samples"
"epsilon = 0.1  uniform",3.03560791304335,0.311270952224731,0.369917671196163,1.16725052008405,3.03560791304335
"epsilon = 0.1  uniform",3.22101752040908,0.270764934830368,1.0406164615415,1.58955277176574,3.22101752040908
"epsilon = 0.1  uniform",2.76330394670367,1.78929494926706,8.54013841366395,1.6286907158792,2.76330394670367
"epsilon = 0.1  uniform",3.53620808571577,0.883316134568304,0.775227679405361,0.612140367738903,3.53620808571577
"epsilon = 0.1  uniform",2.57151784840971,0.889351277146488,8.60495876288041,1.59538300940767,2.57151784840971
"epsilon = 0.1  uniform",3.29733017832041,0.427301307208836,3.04677467793226,0.0648560747504234,3.29733017832041
"epsilon = 0.1  uniform",2.59086556266993,0.805421778932214,1.87433461891487,1.0239115729928,2.59086556266993
"epsilon = 0.1  uniform",2.59108227910474,2.28818121133372,3.94374530296773,0.08044806541875,2.59108227910474
"epsilon = 0.1  uniform",3.21072144666687,0.316178193315864,7.9343808372505,0.300169102847576,3.21072144666687
"epsilon = 0.1  uniform",2.21417014952749,0.882633216679096,5.13141077244654,0.677561960183084,2.21417014952749
"epsilon = 0.1  uniform",3.57469369191676,0.741744972765446,0.588915408588946,1.22483275132254,3.57469369191676
"epsilon = 0.1  uniform",2.64165675733238,2.93121079448611,2.97938128933311,0.197495261672884,2.64165675733238
"epsilon = 0.1  uniform",2.80995025299489,0.477802304085344,0.776493865996599,0.656232815235853,2.80995025299489
"epsilon = 0.1  uniform",3.36038601817563,1.47249174537137,3.48800280597061,1.09530120156705,3.36038601817563
"epsilon = 0.1  uniform",3.20878912229091,0.345079954713583,1.65725193219259,1.65715089766309,3.20878912229091
"epsilon = 0.1  uniform",3.48082016920671,1.05701338965446,3.31481229513884,0.117871835827827,3.48082016920671
"epsilon = 0.1  uniform",2.65766092110425,2.01642573112622,7.88660087389871,0.388197512365878,2.65766092110425
"epsilon = 0.1  uniform",2.80865022912621,2.35110223991796,4.65018758783117,0.270398689899594,2.80865022912621
"epsilon = 0.1  uniform",3.58838699059561,0.579498915467411,2.21176798455417,1.2102233665064,3.58838699059561
"epsilon = 0.1  uniform",2.59243617532775,1.98811393696815,6.71852783067152,0.424609119072556,2.59243617532775
"epsilon = 0.1  uniform",2.28489516768605,0.918054829817265,1.0534202074632,0.429626144468784,2.28489516768605
"epsilon = 0.1  uniform",3.15046605886891,1.01704936241731,3.20044760825112,0.0233522476628423,3.15046605886891
"epsilon = 0.1  uniform",2.47182600433007,1.10494195250794,2.19766929280013,0.131687526591122,2.47182600433007
"epsilon = 0.1  uniform",2.9408331704326,1.02712490828708,4.36784001765773,0.173288572113961,2.9408331704326
"epsilon = 0.1  uniform",2.89327601669356,0.0581631739623845,3.02356222877279,0.998586982022971,2.89327601669356
