"methods","samples.p","samples.mu01","samples.mu02","samples.mu11","samples.mu12"
"Euc. Summary",0.0764355902076092,0.145604253287473,0.333708742349624,0.887560385576023,-0.555367411731976
"Euc. Summary",0.692998248802182,0.18621409674918,0.229645248998138,0.27237635659179,0.411368378347997
"Euc. Summary",0.625225262054617,0.261337303228245,0.158061684974338,0.214489380388055,0.590283613886911
"Euc. Summary",0.421590082062298,-0.0479883661862015,0.543752594266867,0.47146162050904,-0.0541401224956471
"Euc. Summary",0.498551484054324,0.781505950752582,0.528727795698357,-0.199970832069612,0.118186887054511
"Euc. Summary",0.498551484054324,0.781505950752582,0.528727795698357,-0.199970832069612,0.118186887054511
"Euc. Summary",0.498551484054324,0.781505950752582,0.528727795698357,-0.199970832069612,0.118186887054511
"Euc. Summary",0.406961446317151,0.925114557797837,0.119457409790064,-0.57045263587351,0.567878453692192
"Euc. Summary",0.576335135239581,-0.101751202911889,-0.0962198668117154,0.32471330686022,0.491198263077357
"Euc. Summary",0.28751777297274,-0.0445461446769089,0.117467923513605,0.700268376433351,0.705448847665722
"Euc. Summary",0.621056064131453,0.981318968544829,0.544753669992996,-0.245434310847674,0.147676963081844
"Euc. Summary",0.621056064131453,0.981318968544829,0.544753669992996,-0.245434310847674,0.147676963081844
"Euc. Summary",0.0406786003271406,0.257590888922452,0.258304664013372,0.075127683775565,-0.298606432632272
"Euc. Summary",0.396179594934148,0.398262047148309,0.719282166139266,0.0201201313943234,-0.445564123539016
"Euc. Summary",0.417959008411768,0.503525389922278,0.772966834972163,-0.0250263928316993,-0.456349349068821
"Euc. Summary",0.396179594934148,0.398262047148309,0.719282166139266,0.0201201313943234,-0.445564123539016
"Euc. Summary",0.396179594934148,0.398262047148309,0.719282166139266,0.0201201313943234,-0.445564123539016
"Euc. Summary",0.966417550184021,0.272299815706901,0.459993670038862,0.163282808032966,0.298533327713938
"Euc. Summary",0.225656020900999,0.371716009969996,0.556876105678614,-0.696370166428483,-0.486600258923621
"Euc. Summary",0.703764834703289,-0.356463719709016,-0.777387888417725,0.383487661610235,0.869791147718875
"Euc. Summary",0.0722175619338243,0.238077148771405,0.345498688875699,-0.238959323824707,0.632358945178485
"Euc. Summary",0.610531403157071,0.342213462330529,0.251391387888135,0.0509978330805593,0.364334555119787
"Euc. Summary",0.379245105104748,0.391307221081774,-0.0430634499754875,-0.108511912497897,0.822239451161098
"Euc. Summary",0.507262073017156,0.301986025251279,-0.144788657248096,0.241014568570652,0.858444484376978
"Euc. Summary",0.64688672275139,-0.290569555919385,-0.0411743887490437,0.598738978241607,0.783274854797885
"Euc. Summary",0.64688672275139,-0.290569555919385,-0.0411743887490437,0.598738978241607,0.783274854797885
"Euc. Summary",0.64688672275139,-0.290569555919385,-0.0411743887490437,0.598738978241607,0.783274854797885
"Euc. Summary",0.878394866358086,-0.0278384082546495,0.434522514994886,0.324180832660892,0.36136663462288
"Euc. Summary",0.878394866358086,-0.0278384082546495,0.434522514994886,0.324180832660892,0.36136663462288
"Euc. Summary",0.878394866358086,-0.0278384082546495,0.434522514994886,0.324180832660892,0.36136663462288
"Euc. Summary",0.550273122795594,0.295810968090791,0.66143394008784,0.104086809737968,-0.0433513611566622
"Euc. Summary",0.70928269563311,-0.0952673550310253,0.10267344968863,0.367631443192095,0.402525348709952
