"methods","samples.P","samples.delta","samples.N0","samples.sigma.d","samples.sigma.p","samples.tau"
"Euc. Summary",173.952285681249,0.410068389404822,163.88446268541,0.674625300422454,0.410459377337485,9.57153050559451
"Euc. Summary",23.3702452973293,0.649206318122578,198.080641166063,0.819164699697343,0.244988419248704,10.9133466357454
"Euc. Summary",173.952285681249,0.410068389404822,163.88446268541,0.674625300422454,0.410459377337485,9.57153050559451
"Euc. Summary",32.9959144316843,0.44984120518601,102.162512453336,0.660538626737612,0.238789959602575,11.8572617646719
"Euc. Summary",72.3482838054142,0.0990329582521499,106.233676993416,0.593039440161149,0.305891955462434,2.76211664269797
"Euc. Summary",12.8356826088425,0.169111634731335,213.184218613927,0.593860628598326,0.214699029472369,36.7557649432289
"Euc. Summary",12.8356826088425,0.169111634731335,213.184218613927,0.593860628598326,0.214699029472369,36.7557649432289
"Euc. Summary",12.8356826088425,0.169111634731335,213.184218613927,0.593860628598326,0.214699029472369,36.7557649432289
"Euc. Summary",60.6643778076854,0.231653016009171,218.278601509378,0.557489667803882,0.330075257329642,7.03209012403478
"Euc. Summary",31.0726756090779,0.272237531604188,146.512190937436,0.609843101772141,0.240776323227042,34.9461360798027
"Euc. Summary",31.0726756090779,0.272237531604188,146.512190937436,0.609843101772141,0.240776323227042,34.9461360798027
"Euc. Summary",4.23250599587243,0.487458437887098,96.7468192810154,0.644863490831244,0.128963538688649,15.8264037242647
"Euc. Summary",4.23250599587243,0.487458437887098,96.7468192810154,0.644863490831244,0.128963538688649,15.8264037242647
"Euc. Summary",4.23250599587243,0.487458437887098,96.7468192810154,0.644863490831244,0.128963538688649,15.8264037242647
"Euc. Summary",4.23250599587243,0.487458437887098,96.7468192810154,0.644863490831244,0.128963538688649,15.8264037242647
"Euc. Summary",40.7064175469638,0.500078323233855,85.9308935517548,0.674281011575216,0.230266350956155,13.9567458354224
"Euc. Summary",38.8158502153368,0.392063901452925,174.063460837248,0.604459356647806,0.291557761647359,3.62375251469835
"Euc. Summary",38.8158502153368,0.392063901452925,174.063460837248,0.604459356647806,0.291557761647359,3.62375251469835
"Euc. Summary",49.9147912377768,0.349327069570336,151.381148482802,0.592797480242473,0.29094968207585,17.8676854756177
"Euc. Summary",10.2000016021615,0.734869330511636,143.353300730913,0.732188878614798,0.194288339750624,19.0717579504736
"Euc. Summary",40.3599190328836,0.697413205796171,175.758412671686,0.767488331035834,0.290476296363305,5.07056340999338
"Euc. Summary",15.6767339386108,0.422907895534716,231.701582698787,0.69055639204788,0.236196767232568,11.2810203163598
"Euc. Summary",41.2491790309357,0.45522697638056,430.95481532393,0.645065173604812,0.394482543642675,5.14028695524042
"Euc. Summary",5.99802889040489,0.448780733593662,179.096584862901,0.604025609968763,0.169039347993441,6.73888183803164
"Euc. Summary",17.5216200843825,0.302393667268727,164.293746532853,0.61671636647993,0.211635789487344,7.79546385228053
"Euc. Summary",8.61044680408253,0.648277299240098,145.027606857253,0.719536570320183,0.16913089371236,6.28455676394103
"Euc. Summary",19.0083472343058,0.647043599568568,138.051065356174,0.709050077592047,0.222188070745541,6.37698180662145
"Euc. Summary",78.1770150552665,0.232761252498703,186.425014642346,0.580634155925968,0.337123757180388,6.63523716598011
"Euc. Summary",50.4462216122179,0.354310278866977,92.8965387871749,0.58977814204233,0.25124173063607,27.1375135685746
"Euc. Summary",50.4462216122179,0.354310278866977,92.8965387871749,0.58977814204233,0.25124173063607,27.1375135685746
"Euc. Summary",18.8687138488409,0.435776696883931,372.305553655239,0.663846999293071,0.308765738884302,3.59256907541405
"Euc. Summary",50.0368666447487,0.252880211061524,146.782180552617,0.560791372082221,0.284715231731317,8.80660806986512
"Euc. Summary",18.8687138488409,0.435776696883931,372.305553655239,0.663846999293071,0.308765738884302,3.59256907541405
"Euc. Summary",18.8687138488409,0.435776696883931,372.305553655239,0.663846999293071,0.308765738884302,3.59256907541405
"Euc. Summary",18.8687138488409,0.435776696883931,372.305553655239,0.663846999293071,0.308765738884302,3.59256907541405
"Euc. Summary",4.05592260054189,0.315788928840018,103.650501143354,0.565246790194753,0.135255118296756,6.14485753021115
"Euc. Summary",59.1674443003417,0.264237369846531,123.572016674468,0.586391104281463,0.288208005422725,15.2348284944929
"Euc. Summary",26.7647867814825,0.311004766287484,65.056824748838,0.644147367383341,0.196256663177382,9.02989862466094
"Euc. Summary",4.05592260054189,0.315788928840018,103.650501143354,0.565246790194753,0.135255118296756,6.14485753021115
"Euc. Summary",4.05592260054189,0.315788928840018,103.650501143354,0.565246790194753,0.135255118296756,6.14485753021115
"Euc. Summary",4.05592260054189,0.315788928840018,103.650501143354,0.565246790194753,0.135255118296756,6.14485753021115
"Euc. Summary",164.665525107037,0.290078317894537,189.261679381648,0.626165235196806,0.464649959158203,13.3583840589857
